description,subject
 These companies had a lot of catching up to do and had to do it on a hardware platform very different from the Apple Macintosh,CHI
 One key advantage that Apple had is that they built the whole computer themselves as an integrated system,CHI
 Their design philosophy followed the Xerox PARC design methodology,CHI
 Jones described how the Xerox Star was built,CHI
 â€œStar began by defining a conceptual model of how users would relate to the system,CHI
" The interface was completed before the computer hardware had been built on which to run it, and two years before a single line of product software code had been written",CHI
â€‌ Many other software and hardware products failed in the marketplace because they did not follow this design approach,CHI
" Products and their interfaces should be designed for users, and the users should be involved in the product design process ",CHI
Responsiveness Principle 4: All delays are not equal: software need not do everything immediately,CHI
Some events require immediate feedback; some donâ€™t,CHI
 Software can therefore prioritize its handling of user events in order to give timely feedback where it is needed and delay other tasks,CHI
"As described above, for handâ€“eye coordination tasks, keystroke-level feedback must be immediate to be effective",CHI
" Internal bookkeeping, updating areas of the screen where users arenâ€™t working, results of explicitly requested calculations or searches need not be immediate",CHI
"The classic UI design handbook Humanâ€“Computer Interface Design Guidelines [Brown, 1988] uses the concept of task â€œclosureâ€‌ to determine when software response delays are acceptable or unacceptable",CHI
A key factor determining acceptable response delays is level of closureâ€¦,CHI
 A delay after completing a major unit of work may not bother a user or adversely affect performance,CHI
" Delays between minor steps in a larger unit of work, however, may cause the user to forget the next planned steps",CHI
" In general, actions with high levels of closure, such as saving a completed document to a file, are less sensitive to response time delays",CHI
" Actions at the lowest levels of closure, such as typing a character and seeing it echoed on the display, are most sensitive to response time delays",CHI
Trying to make all system responses equally fast cannot succeed,CHI
" Everything canâ€™t happen at once and even if it could, users couldnâ€™t perceive it all",CHI
Instant responses to certain user actions can even be undesirable,CHI
 Faster is not always better,CHI
 Users donâ€™t trust complex searches or computations that finish too quickly,CHI
" A slight delay, blink, animation, or other feedback may be needed when a display changes to make users notice the change or believe that work was done",CHI
 Many old computer games canâ€™t be played on todayâ€™s computers because they were optimized for maximum speed on slow computers and run too fast on newer ones,CHI
" Thus, the deadlines given for different types of feedback are not simply maximums, they are goals",CHI
"A manual examination of embedded systems utilizes human computer interfaces like key input and display output, to extract as much data as possible",CHI
 Reasons for choosing such a low-tech examination method include,CHI
"In some cases, speed is more important than forensic soundness",CHI
" If it is only important to know the value of the last trip counter of a car, it makes sense to switch on that car instead of spending a lot of time developing a forensically sound extraction procedure",CHI
With other methods it is not possible to extract certain evidence or to guarantee the integrity of certain data elements,CHI
" Some mobile phones for example, have data cable connection points inside the battery compartment",CHI
 Removing the battery to access these points may alter the date and time values of the phone,CHI
 If these values are expected to be important they can be extracted via the user menu of the phone,CHI
The conversion of extracted data into information (decoding) is problematic,CHI
" If no documentation is available on how specific data are formatted and all attempts to decode the data fail, the device itself might be a useful tool",CHI
" In a mobile phone examination for example, data related to deleted voice dialing commands were found but it was not possible to play these voice tags with any available sound player",CHI
" Through testing it was discovered how the phone coded the delete status of a voice tag and after flipping the deleted status data back to nondeleted, the voice tags could be played via the original phone",CHI
The investigator needs to have the technical documentation for the system and needs to be experienced in manual examination of the target device,CHI
 This will avoid data being unwittingly lost or affected,CHI
8 All the operations need to be documented and it must be stated in the final report that the data have been extracted manually,CHI
 Manual acquisition does not guarantee that all data are retrieved and also has the disadvantage of possible human (typographic) errors,CHI
" For computer assisted manual examinations, forensic tools exist that use a camera and computer software for documenting screen contents during a manual examination (Fernico, 2007; Project-a-Phone, 2007)",CHI
"During an investigation related to the death of a baby, a digital fever thermometer was examined",CHI
 The police wanted to know the last measured temperature,CHI
 After contacting the manufacturer and conducting tests with a reference device it turned out that the last measured temperature could be displayed by holding down the power button for a few seconds after powering on the device,CHI
Interactive Applications and Environments,CHI
Understanding the interaction between a computer and a human remains one of the enduring challenges in designing humanâ€“computer interfaces,CHI
 Visual cues are the most important mode of nonverbal communication,CHI
 Effective utilization of gestures and activities holds the promise of helping in creating computers that can better interact with humans,CHI
" Similarly, interactive environments such as smart rooms [12] that can react to a user's activities can benefit from vision-based methods",CHI
" However, such technologies are still not mature enough to stand the â€œTuring testâ€‌ and thus continue to attract research interest",CHI
The computer/human interface refers to the modalities through which people interact with computational technologies,CHI
" Looked at over the last half century, the trend has been from a style of interaction in which the computer is approached as a mechanism to a style of interaction in which the computer is approached as a behaving and aware organism",CHI
" This first trend has been related to another, from people acting directly on the machine to acting indirectly on its increasingly elaborate self presentation in which many layers of programming stand between underlying processes and what is presented to the user",CHI
 This movement is more than technical,CHI
" Computational technologies have served as objects to think with, that is, as carrier objects for ideas",CHI
" Through their changing interfaces, the computer has moved from being the carrier object of a culture of calculation to that of a culture of simulation",CHI
 The culture of simulation promotes a way of understanding in which users are encouraged to take computers â€کat interface value,CHI
Extending Visualization to Perceptualization: The Importance of Perception in Effective Communication of Information,CHI
 The essence of any humanâ€“computer interface is to convey information,CHI
 Visualization has been a good information communication tool for more than two decades,CHI
" While many visualization systems provide users with a better understanding of their data, they are often difficult to use and are not a reliable, accurate tool for conveying information, which limits their acceptance and use",CHI
" As scientists, medical researchers, and information analysts face drastic growth in the size of their datasets, the efficient, accurate, and reproducible communication of information becomes essential",CHI
 These problems become even worse when the datasets under investigation are multivariate and/or vector datasets,CHI
"Therefore, we need a fundamental change in the development of visualization techniques",CHI
 Traditional visualization must evolve into perceptualization of information: conveying information through multiple perceptual channels and perceptually tuned rendering techniques,CHI
" The choice of visual rendering techniques should be driven by characteristics of human perception, since perceptual channels are the communication medium",CHI
 This chapter summarizes some basics of human perception and show several examples of how this perceptual basis can be used to drive new perceptualization techniques,CHI
"Throughout history, humans have tried to effectively convey important information through the use of images, using techniques such as illustrations, photographs, and detailed technical drawings",CHI
 These techniques harness the enormous bandwidth and preattentive processing of the human visual system,CHI
" Many disciplines of study have evolved to further these techniques, including photography, technical and medical illustration, and now visualization",CHI
" While illustration and photography are both successful at capturing and conveying information, they utilize different techniques and characteristics of the human visual system to convey information",CHI
" Photography concentrates on conveying information with light and color variation, while illustration additionally tries to effectively convey information by omitting unimportant details, enhancing the most significant components of the image, simplifying complex features, and exposing hidden features ",CHI
 Scientific illustrations have been used for centuries because of their effective communicative ability ,CHI
"The effectiveness of illustration techniques, the amazing power of the human perceptual system, and the enormous data deluge facing information analysts, medical researchers, and scientific researchers have motivated us to explore the possible extension of visualization techniques to perceptualization",CHI
" The goal of perceptualization is to concisely convey information to the user through the creation of effective perceptual human inputs (visual, proprioceptive, and haptic)",CHI
Humanâ€“machine interfaces for medical imaging and clinical interventions,CHI
"16 Objective evaluation of performance on a task mediated by an interfaceBefore the advent of humanâ€“computer interfaces, Experimental Psychologists had known that the objective evaluation of performance on a task can be formulated by considering both the time (or speed) and the error rate (or accuracy) of the sequence of actions which make up the overarching task [25,33,31]",CHI
 They had also known that these are the only objective measures that can be made,CHI
" And more recently, due to the prevalent theories and empirical support of the speedâ€“accuracy trade-off, it has become recognized that these two measures cannot be disentangled",CHI
" Put succinctly and emphatically, â€œperformance of a task is the product of speed and accuracy, relative to that taskâ€‌",CHI
" (Within the HMI literature, this fundamental principle goes back as far as Fitts or perhaps Woodworth ",CHI
" What we would like to emphasize here is that there are no other objective metrics of performance (any other would either be noncausal correlate measures, or worse, be â€œsubjectiveâ€‌, and consequently prone to all of the cognitive and methodological biases that make subjective evaluations a very weak hand to play)",CHI
There is an easy Gedankenexperiment that can be conducted in this regard,CHI
" Pretend, for the sake of argument, that there might be, say, three objective metrics of performance: â€œSpeed, Accuracy, and Path Lengthâ€‌",CHI
" Well, then, what happens if your data shows that you have improved your speed and decreased your path length, but your accuracy is lower? Presumably that calls your performance into question",CHI
" And what if you have improved your accuracy and decreased your path length, but you have been much slower? Well, then, have you improved your performance by being much slower while taking a shorter path? Really? But now: what if you have improved your speed and your accuracy, but not your path length? Well, from the perspective of the task â€“ the increase in path length is irrelevant",CHI
" As long as your speed and accuracy are both better, then, by definition, your performance has improved",CHI
â€œPath lengthâ€‌ would only arise as a metric if it was explicitly made part of the goals of the task,CHI
" In this case, it would be a dual task, such as when you are asked to â€œpoint to a target while at the same time minimizing your path length",CHI
"â€‌ Then, in that case, you have two tasks â€“ and you can consider the speed and accuracy of both of those tasks, and then consider whether or not there exists a trade-off between accuracy constraints of the two tasks â€“ in which you will need to consider some weighting function if you need to extract a single performance measure from this dual task",CHI
" Alternately, you can extract performance metrics on the two aspects of the dual task",CHI
"This principle of objective performance metrics based on speed and accuracy can be applied hierarchically to any particular subtask of an overarching task; whether they comprised goal-directed movements, or discrete choice-based tasks (where in the discrete case, one considers the reciprocals of the task time and the error rate)",CHI
" While we have tried to provide an encompassing review of a broad area of research, we do hope that this article has been an argument that champions this particular emphatic point about the quantitative evaluation of humanâ€“machine interfaces for Medical Imaging, and Computer-Assisted Interventions",CHI
"Given the complexity of the humanâ€“computer interface, it is clear that evaluation protocols that address a large number of different types of speech-based input systems are required",CHI
" The majority of research in the area of speech-based input system evaluation has concentrated on evaluating system components, such as measuring the word recognition accuracy for a speech recognizer, rather than on overall effectiveness measures for complete systems",CHI
"In order to give the reader information on how to evaluate the performance of speech-based input systems, this section first introduces various performance measures, followed by discussions of the parameters that affect the performance",CHI
" The section then goes on to an evaluation framework, which includes high-level sophisticated metrics such as correction and transaction success",CHI
"To obtain a more detailed description of various evaluation techniques for speech-based input systems, readers are encouraged to refer to the handbook by Gibbon et al",CHI
"With some justification, one can see the evolution of the human-computer interface as a slow but relentless progress toward a more NUI-like interface: one that enables skillful performance rapidly without diminishing the result, and perhaps enhancing it",CHI
HCI (human-computer interaction) is the study of how people interact with computers and to what extent computers are or are not developed for successful interaction with human beings,CHI
"As its name implies, HCI consists of three parts: the user, the computer itself, and the ways they work together",CHI
"By ""user"", we may mean an individual user, a group of users working together",CHI
" An appreciation of the way people's sensory systems (sight, hearing, touch) relay information is vital",CHI
" Also, different users form different conceptions or mental models about their interactions and have different ways of learning and keeping knowledge and",CHI
" In addition, cultural and national differences play a part",CHI
"When we talk about the computer, we're referring to any technology ranging from desktop computers, to large scale computer systems",CHI
" For example, if we were discussing the design of a Website, then the Website itself would be referred to as ""the computer""",CHI
 Devices such as mobile phones or VCRs can also be considered to be â€œcomputersâ€‌,CHI
There are obvious differences between humans and machines,CHI
" In spite of these, HCI attempts to ensure that they both get on with each other and interact successfully",CHI
" In order to achieve a usable system, you need to apply what you know about humans and computers, and consult with likely users throughout the design process",CHI
" In real systems, the schedule and the budget are important, and it is vital to find a balance between what would be ideal for the users and what is feasible in reality",CHI
The Goals of HCI,CHI
"The goals of HCI are to produce usable and safe systems, as well as functional systems",CHI
" In order o produce computer systems with good usability, developers must attempt to:",CHI
understand the factors that determine how people use technology,CHI
develop tools and techniques to enable building suitable systems,CHI
"achieve efficient, effective, and safe interactioN",CHI
put people first,CHI
Underlying the whole theme of HCI is the belief that people using a computer system should come first,CHI
" Their needs, capabilities and preferences for conducting various tasks should direct developers in the way that they design systems",CHI
 People should not have to change the way that they use a system in order to fit in with it,CHI
" Instead, the system should be designed to match their requirements",CHI
Usability is one of the key concepts in HCI,CHI
 It is concerned with making systems easy to learn and use,CHI
 A usable system is,CHI
easy to learn,CHI
easy to remember how to useMany everyday systems and products seem to be designed with little regard to usability,CHI
" This leads to frustration, wasted time and errors",CHI
" Productivity FactorsIncrease output, increase quality, decrease costs, decrease errors, increase innovation",CHI
Disciplines contributing to HCI,CHI
"The field of HCI covers a wide range of topics, and its development has relied on contributionsfrom many disciplines",CHI
 Some of the main disciplines which have contributed to HCI are:,CHI
"Computer Science technologyo software design, development & maintenance o User Interface Management Systems (UIMS) & User Interface Development Environments (UIDE) o prototyping tools o graphics",CHI
Cognitive Psychology information processing  capabilities limitations  cooperative working performance prediction,CHI
"Human-Computer Interaction is an interdisciplinary field of study interested in design, evaluation and implementation of interactive technology",CHI
" Since Human-Computer Interaction studies the interaction between human and computer, it is associated with the study fields suach as human behavior, psychology, cognitive science, computer science and software engineering as well as ergonomics, graphic and industrial design, sociology, anthropology and educational sciences [1]",CHI
"Human-Computer Interaction (HCI) has four main components: the user, task, tools / interface, the context",CHI
 HCI studies requires the evaluation of obtained observations while the user performs certain tasks and habits of the user together,CHI
 These data are used in the development process of interactive systems,CHI
" After Vannevar Bush introduced the idea of theoretical analog computer (MEMEX: memory extender) in 1945, Shackel conducted the first studies in HCI field [2]",CHI
" In 1969, a periodical magazine ""International Journal of Man-Machine Studies"" was founded, in the 1970s ""user friendly"" (user-friendliness) concept was introduced, in 1976 NATO was sponsor for the ""Man-Computer Interaction"" related workshop",CHI
"Weinberg and Shneiderman have published the first book on the subject during these years [3, 4]",CHI
 In 1982 the ACM (Association for Computing Machinery) launched the of SIGCH (Special Interest Group on Computer-Human Interaction) and CHI (International Conference for Human-Computer Interaction) conferences,CHI
" In the late 1980s, four major magazines in the field of Human-Computer Interaction were continued to be published",CHI
" During this period, the first industrial Human-Computer Interaction Laboratory was established,  in the 1990s with the development of web technologies, the importance of the HCI studies was increased and user-centered design began to come forward rather than technical/designer-centered design",CHI
" Towards the end of 90s, the first HCI academic programs have been initiated in universities such as Carnegie Mellon University, Indiana University",CHI
The world of computing has evolved really fast with passing time,CHI
" From data centres, we moved to the cloud, then to the edge and we are sure that much more is still going to come",CHI
" We got introduced to 3D printing and virtual and augmented reality applications, some of which completely changed our lives",CHI
" As discussing augmented reality, learn top trends in AR",CHI
"From the AI assistant on our phones to that speaker looking thing that can turn off the lights of your room on one single command of yours, technology has no barriers nowadays",CHI
" But in between this technical revolution we must admit that the interaction and communications with technology is not always that easy, remember getting annoyed because of your phoneâ€™s autocorrect feature? Thatâ€™s what I am talking about",CHI
 The keyboard that was not easy to communicate with was suffering from a poor Human-computer interaction design,CHI
 Do you know what it is? This blog is all about the thing mentioned above,CHI
Human-Computer Interaction(HCI),CHI
The study of how computer technology affects human labour and activities is known as Humanâ€“Computer Interaction (HCI),CHI
" The word ""computer technology"" currently encompasses a wide range of devices, from traditional computers with displays and keyboards to smartphones, home appliances, in-car navigation systems, and even integrated sensors and actuators like automated lighting",CHI
" HCI is linked to a design field known as Interaction Design or User-Centered Design, which focuses on how to make computer technology as simple and enjoyable to use as possible",CHI
" The concept of ""usability,"" which is generally characterised in terms of efficiency, effectiveness and satisfaction, is an important part of the design profession",CHI
"Because it currently encompasses practically all types of information technology, the definition of Human-Computer Interaction (HCI) must remain wide (IT)",CHI
 The study of creating computers and technologies to best serve their users is known as human-computer interaction (HCI) (i,CHI
e,CHI
 humans),CHI
 HCI is closely connected to User Experience (UX) design and is widely regarded as the forerunner of this more current approach,CHI
Evolution of Human-Computer Interaction,CHI
"Since its beginning, the area of Human-Computer Interaction has expanded considerably",CHI
" To operate the early personal computers (PCs), you needed a lot of training and, predictably, there were a lot of problems in the user experience",CHI
" Simple operations like moving the mouse or erasing text faced users with never-before-seen problems, all of which posed major barriers to the computer's use",CHI
"In the early 1980s, HCI emerged as an attempt to understand how and why computers could be made more user-friendly",CHI
 The subject of research soon expanded to encompass nearly all aspects of information technology,CHI
Importance of Human-Computer Interaction,CHI
"HCI is critical since it will be necessary for goods to be more successful, safe, helpful, and functional",CHI
 It will make the user's experience more enjoyable in the long term,CHI
" As a result, having someone with HCI skills involved in all phases of any product or system development is critical",CHI
 HCI is also necessary to prevent goods or projects from failing completely,CHI
"When creating clear intuitive systems that will be accessible by people with a wide variety of talents and knowledge, as well as those who have not finished any official training, HCI is critical",CHI
 HCI makes software and gadgets more intelligible and useful for everyone by leveraging our everyday knowledge of the environment,CHI
" As everyone has used genuine paper folders in their daily lives, displaying a visual of a small folder in a computer's interface helps the user comprehend the folder's purpose",CHI
" Finally, if a system is well-designed using HCI approaches, the user should not have to worry about the system's complexities",CHI
" Clear, straightforward, and natural interaction should be the norm",CHI
"Today, technology has infiltrated every area of our life",CHI
" Even if a person does not directly own or use a computer, computers have an impact on their lives",CHI
" ATM machines, railway ticket selling machines, and hot beverage vending machines are just a few examples of computer interfaces that people may interact with on a regular basis without having to possess a computer",CHI
" When creating any of these systems or interfaces, human-computer interaction (HCI) is crucial, whether designing an interface for an ATM or a desktop computer, HCI principles should be examined and taken into account to guarantee that the interface is safe, useful, and efficient",CHI
 HCI is significant for any company that relies on technology or computers in its day-to-day operations,CHI
 Staff are more content and productive when working with well-designed usable systems since they are not irritated,CHI
 HCI is particularly essential in the design of safety-critical systems like those found in power plants and air traffic control centres,CHI
" In these instances, design flaws can have catastrophic consequences, including the death of many individual",CHI
"When building systems that are not just functional but also accessible to persons with impairments, human-computer interaction (HCI) is a critical factor to consider",CHI
" HCI's basic idea is to offer everyone with secure, usable, and efficient systems, which includes people with a wide variety of abilities and levels of experience and knowledge",CHI
 Any system that is built using HCI user-centered approaches and concepts will be as accessible as possible to people with impairments,CHI
"Today, only a small percentage of computer users read the software's documentation, assuming one exists",CHI
 Only the most specialist and complex programmes need intensive training and a handbook,CHI
"Within a few minutes of engaging with a computer software, consumers expect to grasp its basic features",CHI
" HCI equips designers with the ideas, strategies, and resources they need to create intuitive, easy-to-use interfaces that don't require training",CHI
Virtual reality is an excellent example of human-computer interaction in the workplace,CHI
 The interaction between the computer and the user is meant to provide the user a new viewpoint,CHI
" Virtual reality, when done correctly, can genuinely resemble the actual environment, and is an excellent example of good HCI at action",CHI
" Voice search, such as Amazon Alexa and Google Voice Search, is another example",CHI
 These voice search apps and gadgets allow users to engage with a device or system that guides them to an Amazon purchase or a Google search,CHI
"On an end-note, if we look at the future of Human-computer interaction, we will find that the things ahead are going to be really exciting",CHI
 Looking into the possibilities of where HCI may lead us might seem like you're reading a science fiction storey,CHI
" That's because HCI wants technology to be as normal and accessible as possible in our daily lives, giving us a glimpse into an apparently futuristic future",CHI
"When utilising virtual reality, Dexta haptic gloves were created to simulate touch feelings of hardness, softness, springiness, and more",CHI
" As the user interacts with things in their VR experience, the gloves replicate these feelings by locking and unlocking the user's finger joints to various degrees",CHI
" As indicating VR applications here, learn the applications of VR in the military",CHI
Pre-touch sensing,CHI
It enables your smartphone to read your thoughts (almost),CHI
" When they first come out, pre-touch phones should be able to detect how the user holds the phone or which fingers approach the screen in order to forecast what the user intends to do",CHI
 This gives the impression that your phone can read your mind since it executes things before you give it a clear instruction,CHI
"hether you are a seasoned Designer (have webmaster in your CV) or new to the world of digital software product design (UXD, UXR, UI, IxD, IA, CX, LX, VD, FE, SO, PO, ML, AI, etc) the universe in which you can apply your craft and skills are continuing to grow",CHI
" Letâ€™s review the paradigms that construct how we think about, design for, develop in, and deploy software for people all around the globe",CHI
Human interactions options,CHI
"Human Interaction optionsIn 2021, we interact with computers like it is oxygen",CHI
" At one point not that long ago we did not interact with computers daily; however, humans are quick to invent and quick to adapt to new systems that improve their lives",CHI
" The computer has been a dominant force in our day-to-day existence, and the ways we interact with computers have changed over time",CHI
 Computers and software are fundamentally supported by the ways humans can interact with each other in the world,CHI
Sight: We use our eyes to look at screens or other user interfaces and content to make decisions to execute a task,CHI
"Touch: We use the dexterity in your hands to operate a user interface including buttons, keyboards, and feel haptic (vibrational) feedback, and more from our computer devices",CHI
Hearing: Sound is used as feedback for usage both in content (music/video) as well as to indicate actions and proprietary sounds of a user interface,CHI
"Voice: We speak to communicate actions, feelings, and commands",CHI
 Voice interfaces learn these commands and train their users to make specific commands to accomplish tasks,CHI
Spatial: We move around space both in the world and in terms of our computer systems,CHI
 Interfaces can respond to macro movements (location on the planet) vs micro-movements waving hands or thumbs up etc to control an interface,CHI
"These sensing abilities are thus enhanced and augmented by a computer allow us to see, touch, hear, speak, and move in space with greater efficiency, speed, and accuracy because of a computer",CHI
The number of hardware options is continuing to grow but the vast number of computer usage can be bucketed into 3 types,CHI
"Desktop (Monitor, Computer Tower, Keyboard, Mouse)",CHI
"Laptop (Monitor + Keyboard + Trackpad),Touch screen (Mobile/Tablet)",CHI
"Now, of course, computers are embedded into our lives in such large ways including vehicles, consumer electronics, gaming devices, and the internet of things devices",CHI
 Increasingly the distinction between what has a computer and what doesnâ€™t is harder to distinguish,CHI
Computer software categories,CHI
"Computer software has endless permutations and is deeply ingrained into every aspect of our lives from ordering food, to scheduling an event with your family",CHI
" The software can be deployed in many ways but with the proliferation of the internet and handheld computers, we are starting to see the execution of 3 types of software delivery types",CHI
 Native Platform Software â€” You might understand this as Apple vs PC and software that is made just for those ecosystems and operating systems,CHI
Hybrid Cloud Software â€” Large enterprise SaaS companies are adopting this strategy to tackle both the complexity of security as well as stand up their existing business models,CHI
" Companies like IBM, Deloitte, and Oracle all use some version of hybrid deployment of software and data protection",CHI
 Cloud Software/Browser-Software â€” With high-speed internet and improved internet browsers software doesnâ€™t require being locked in your individual computer rather it can be managed and executed in the cloud and a software user can access the software from any internet-connected computer,CHI
" Companies like Figma, Google Docs, and Salesforce, etc all create software through the browser",CHI
Software is what elevates our computers to the level of utility,CHI
" From google maps to banking software allows us to go places, buy things, and keep the systems moving and our societies humming",CHI
 Software at the minimum should be usable,CHI
 When software is done well it is also accessible to all users and when it is really good it is a delightful user experience for all its users,CHI
 The goal of anyone making software should be to make what their users actually want,CHI
" Easier said than done but if we fundamentally hold that software is for humanâ€™s then we should make sure our software is infused with humanity from research to UX to the user interface, and through to the data that is gathered",CHI
Computer Artificial Intelligence,CHI
Categories of Artificial Intelligence,CHI
"Computer software has a huge impact on making our hardware useful, usable, accessible, and hopefully delightful",CHI
 This has also lead to improved computer processing power which has ushered in the scalability of artificial intelligence,CHI
" AI software is used to manage, crunch, and make sense of large amounts of data as well as other applications",CHI
" AI can be integrated into existing software tools like auto-correct or spell check or can be autonomous systems like robots or chatbots, or automated customer service emails, etc",CHI
 AI can be bucketing into 5 branches within computer science and is a rapidly growing field,CHI
Natural Language Processing (NLP)â€” The ability to give computers the ability to understand the text and speak words in much the same way human beings can,CHI
" Products like Alexa, Siri, or Google Translate all rely on being able to intake voice and produce a result",CHI
"Humans, computers, and artificial intelligence should be leaned on for what they do best",CHI
" Allow humans to focus on creativity, design, communication, and value",CHI
" Allow computers to focus on computation, processes, and data collections",CHI
 Allow AI to focus on mining the data and making processes more efficient,CHI
 By focusing on these and many other aspects it will allow the vast set of skilled humans who build these systems to be more creative,CHI
 Our complex systems can hopefully be designed to free up skilled humans to tackle even more difficult problems,CHI
" From a cure for cancer to climate modeling, our ability to integrate and utilize computer paradigms will continue to support and require highly skilled professionals as the engine that drives its success and ability to continue to change our world",CHI
"Humanâ€“computer interaction (HCI), alternatively manâ€“machine interaction (MMI) or computerâ€“human interaction (CHI) is the study of interaction between people (users) and computers",CHI
" With today's technology and tools, and our motivation to create really effective and usable interfaces and screens, why do we continue to produce systems that are inefficient and confusing or, at worst, just plain unusable? Is it because: 1",CHI
 We don't care? 2,CHI
 We don't possess common sense? 3,CHI
 We don't have the time? 4,CHI
 We still don't know what really makes good design? DEFINITION ,CHI
"Human-computer interaction is a discipline concerned with the design, evaluation and implementation of interactive computing systems for human use and with the study of major phenomena surrounding them. GOALS ",CHI
A basic goal of HCI is â€“ to improve the interactions between users and computers â€“ by making computers more usable and receptive to the user's needs,CHI
  A long term goal of HCI is â€“ to design systems that minimize the barrier between the human's cognitive model of what they want â€“ to accomplish and the computer's understanding of the user's task WHY IS HCI IMPORTANT ,CHI
 User-centered design is getting a crucial role! ,CHI
" It is getting more important today to increase competitiveness via HCI studies (Norman, 1990) ",CHI
 High-cost e-transformation investments ,CHI
 Users lose time with badly designed products and services ,CHI
Users even give up using bad interface â€“ Ineffective allocation of resources 3 DEFINING THE USER INTERFACE ,CHI
" User interface, design is a subset of a field of study called human-computer interaction (HCI)",CHI
"  Human-computer interaction is the study, planning, and design of how people and computers work together so that a person's needs are satisfied in the most effective way",CHI
" HCI designers must consider a variety of factors: â€“ what people want and expect, physical limitations and abilities people possess, --how information processing systems work, â€“ what people find enjoyable and attractive",CHI
 â€“ Technical characteristics and limitations of the computer hardware and software must also be considered,CHI
"  The user interface is to â€“ the part of a computer and its software that people can see, hear, touch, talk to, or otherwise understand or direct",CHI
 The user interface has essentially two components: input and output,CHI
 â€¢ Input is how a person communicates his / her needs to the computer,CHI
" â€“ Some common input components are the keyboard, mouse, trackball, one's finger, and one's voice",CHI
  Output is how the computer conveys the results of its computations and requirements to the user,CHI
" â€“ Today, the most common computer output mechanism is the display screen, followed by mechanisms that take advantage of a person's auditory capabilities: voice and sound",CHI
  The use of the human senses of smell and touch output in interface design still remain largely unexplored,CHI
" â€¢ Proper interface design will provide a mix of well-designed input and output mechanisms that satisfy the user's needs, capabilities, and limitations in the most effective way possible",CHI
" â€¢ The best interface is one that it not noticed, one that permits the user to focus on the information and task at hand, not the mechanisms used to present the information and perform the task",CHI
" 4 THE IMPORTANCE OF GOOD DESIGN With today's technology and tools, and our motivation to create really effective and usable interfaces and screens, why do we continue to produce systems that are inefficient and confusing or, at worst, just plain unusable? Is it because: We don't care? We don't possess common sense? ",CHI
 We don't have the time? ,CHI
We still don't know what really makes good design? ,CHI
" But we never seem to have time to find out what makes good design, nor to properly apply it",CHI
" After all, many of us have other things to do in addition to designing interfaces and screens",CHI
  So we take our best shot given the workload and time constraints imposed upon us,CHI
" The result, too often, is woefully inadequate",CHI
" â€¢ Interface and screen design were really a matter of common sense, we developers would have been producing almost identical screens for representing the real world",CHI
 â€¢ Example bad designs â€“ Closed door with complete wood â€“ suggestion : glass door THE IMPORTANCE OF THE USER INTERFACE  A well-designed interface and screen is terribly important to our users,CHI
 It is theirïƒک window to view the capabilities of the system,CHI
  It is also the vehicle through which many critical tasks are presented,CHI
" These tasksïƒک often have a direct impact on an organization's relations with its customers, and its profitability",CHI
  A screen's layout and appearance affect a person in a variety of ways,CHI
" If they areïƒک confusing and inefficient, people will have greater difficulty in doing their jobs and will make more mistakes",CHI
  Poor design may even chase some people away from a system permanently,CHI
" It canïƒک also lead to aggravation, frustration, and increased stress",CHI
 The Benefits of Good Design  Poor clarity forced screen users to spend one extra second per screen,CHI
ïƒک o Almost one additional year would be required to process all screens,CHI
 o Twenty extra seconds in screen usage time adds an additional 14 person years,CHI
 5  The benefits of a well designed screen have also been under experimental scrutinyïƒک for many years,CHI
" o One researcher, for example, attempted to improve screen clarity and readability by making screens less crowded",CHI
" o Separate items, which had been combined on the same display line to conserve space, were placed on separate lines instead",CHI
 o The result screen users were about 20 percent more productive with the less crowded version,CHI
  Proper formatting of information on screens does have a significant positive effectïƒک on performance,CHI
" o In recent years, the productivity benefits of well-designed Web pages have also been scrutinized",CHI
  Training costs are lowered because training time is reduced,CHI
 support line costs are lowered because fewer assist calls are necessary,CHI
Employee satisfaction is increased because aggravation and frustration are reduced,CHI
  Identifying and resolving problems during the design and development process alsoïƒک has significant economic benefits  How many screens are used each day in our technological world?ïƒک  How many screens are used each day in your organization? Thousands? Millions?ïƒک  Imagine the possible savings,CHI
" Proper screen design might also, of course, lower theïƒک costs of replacing ""broken"" PCs",CHI
 A BRIEF HISTORY OF THE HUMAN-COMPUTER INTERFACE The need for people to communicate with each other has existed since we first walked upon this planet,CHI
  The lowest and most common level of communication modes we share are movements and gestures,CHI
" Movements and gestures are language independent, that is, they permit people who do not speak the same language to deal with one another",CHI
" 6  The next higher level, in terms of universality and complexity, is spoken language",CHI
" Most people can speak one language, some two or more",CHI
 A spoken language is a very efficient mode of communication if both parties to the communication understand it,CHI
 At the third and highest level of complexity is written language,CHI
" While most people speak, not all can write",CHI
"But for those who can, writing is still nowhere near as efficient a means of communication as speaking",CHI
"  In modem times, we have the typewriter, another step upward in communication complexity",CHI
 Significantly fewer people type than write,CHI
" (While a practiced typist can find typing faster and more efficient than handwriting, the unskilled may not find this the case",CHI
" Spoken language, however, is still more efficient than typing, regardless' of typing skill level",CHI
"  Through its first few decades, a computer's ability to deal with human communication was inversely related to what was easy for people to do",CHI
" o The computer demanded rigid, typed input through a keyboard; people responded slowly using this device and with varying degrees of skill",CHI
